"org_ID","parent_ID","code","finance_code","name","name_short_30","name_short_15","org_type_ID","org_type","active","location_address1","location_address2","location_address3","location_city","location_state","location_zip","location","location_zip_ext","location_phone","location_fax","location_email","location_web_site","grade_code_low","grade_code_high","grade_span","contact_title_ID","title","user_firstname","user_middlename","user_lastname","user_suffix","contact_ID","fullname","role_name","role_ID","contact_phone","contact_phone2","contact_phone3","contact_fax","contact_email","group_code","group_name","group_ID","listing_order","sch_sub_type_ID","sch_sub_type_name","role_sort_order","source"
"2395","","","","Catholic Schools","Catholic Schools","Catholic","18","Religious Organization","Y","One Cathedral Square","","","Providence","RI","02903","Providence, RI  02903","","(401) 278-4550","(401) 278-4596","smorrissey@dioceseofprovidence.org","www.catholicschools.org","PK","12","PK - 12","","","","","","","","  ","","","(401) 278-4550","","","(401) 278-4596","smorrissey@dioceseofprovidence.org","Providence","City of Providence","","","","","","RIDE_Mar 13 2023 12:58PM"
"616","2395","19201","","All Saints Academy","All Saints Academy","All Saints","2","School","Y","915 West Main Road","","","Middletown","RI","02842","Middletown, RI  02842","","(401) 848-4300","(401) 848-5587","lwibeto@allsaintsacademy.org","www.allsaintsacademy.org","PF","08","PF - 08","2","Principal","Lara","","Wibeto","","6759","Lara  Wibeto","Principal","2","(401) 848-4300","","","(401) 848-5587","lwibeto@allsaintsacademy.org","Middletown","Town of Middletown","","","6","Catholic School","5","RIDE_Mar 13 2023 12:58PM"
"2743","2395","70970","","Bishop Connolly High School","Bishop Connolly High School","Bishop Connolly","2","School","Y","373 Elsbree Street","","","Fall River","MA","02720","Fall River, MA  02720","","(508) 676-1071","","","","09","12","09 - 12","","","","","","","","  ","","","(508) 676-1071","","","","","","","","","6","Catholic School","","RIDE_Mar 13 2023 12:58PM"
"2710","2395","70968","","Bishop Feehan High School","Bishop Feehan High School","Bishop Feehan","2","School","Y","70 Holcott Drive","","","Attleboro","MA","02703","Attleboro, MA  02703","","(508) 226-6223","(508) 226-7696","","","09","12","09 - 12","","","","","","","","  ","","","(508) 226-6223","","","(508) 226-7696","","","","","","6","Catholic School","","RIDE_Mar 13 2023 12:58PM"
"1308","2395","35201","","Bishop Hendricken High School","Bishop Hendricken High","Hendricken High","2","School","Y","2615 Warwick Avenue","","","Warwick","RI","02889","Warwick, RI  02889","","(401) 739-3450","(401) 732-8261","mdeciccio@hendricken.com","www.hendricken.com","08","12","08 - 12","2","Principal","Mark","R","DeCiccio","","2612","Mark R DeCiccio","Principal","2","(401) 739-3450","","","(401) 732-8261","mdeciccio@hendricken.com","Warwick","City of Warwick","","","6","Catholic School","5","RIDE_Mar 13 2023 12:58PM"
"984","2395","28217","","Bishop McVinney Regional School","Bishop McVinney School","McVinney School","2","School","Y","155 Gordon Avenue","","","Providence","RI","02905","Providence, RI  02905","","(401) 781-2370","(401) 785-2618","lhebertbmv@gmail.com","www.bmvschool.org","PK","08","PK - 08","2","Principal","Louis","","Hebert","","880","Louis  Hebert","Principal","2","(401) 781-2370","","","(401) 785-2618","lhebertbmv@gmail.com","Providence","City of Providence","","","6","Catholic School","5","RIDE_Mar 13 2023 12:58PM"
"975","2395","28202","","Blessed Sacrament School","Blessed Sacrament School","Sacrament","2","School","Y","240 Regent Avenue","","","Providence","RI","02908","Providence, RI  02908","","(401) 831-3993","(401) 223-0536","school@blessedschoolpvd.org","www.blessedschoolpvd.com","PK","08","PK - 08","2","Principal","Christopher","","Weber","","4597","Christopher  Weber","Principal","2","(401) 831-3993","","","(401) 223-0536","school@blessedschoolpvd.org","Providence","City of Providence","","","6","Catholic School","5","RIDE_Mar 13 2023 12:58PM"
"3614","2395","35209","","Chesterton Academy of Our Lady of Hope(in Process)","Chesterton Academy of Our Lady","Chesterton Acad","2","School","Y","487 Jefferson Blv","","","Warwick","RI","02886","Warwick, RI  02886","","(401) 287-2280","","info@chestertonri.org","www.chestertonri.org","09","12","09 - 12","","","","","","","","  ","","","(401) 287-2280","","","","info@chestertonri.org","","","","","6","Catholic School","","RIDE_Mar 13 2023 12:58PM"
"228","2395","06204","","Father John V. Doyle School","Father John Doyle School","Doyle School","2","School","Y","343 South Main Street","","","Coventry","RI","02816","Coventry, RI  02816","","(401) 821-3756","(401) 828-8513","jaesmith@fjvd.org","www.fjvd.org/","KF","08","KF - 08","2","Principal","Kevin","","Peloquin","","4343","Kevin  Peloquin","Principal","2","(401) 821-3756","","","(401) 828-8513","kevinpeloquin@fjvd.org","Coventry","Town of Coventry","","","6","Catholic School","5","RIDE_Mar 13 2023 12:58PM"
"2943","2395","70980","","Holy Trinity School","Holy Trinity School","Holy Trinity","2","School","Y","64 Lamphor Street","","","Fall River","MA","02771","Fall River, MA  02771","","(508) 673-6772","","","","PK","08","PK - 08","2","Principal","Brenda","","Gagnon","","3597","Brenda  Gagnon","Principal","2","(508) 673-6772","","","","","","","","","6","Catholic School","5","RIDE_Mar 13 2023 12:58PM"
